Color,Deck %,Splash %,Avg Card %
White,0.39751552795031053,0.1925925925925926,0.5073884222661397
Blue,0.40372670807453415,0.17518248175182483,0.4950934817690671
Black,0.515527950310559,0.21052631578947367,0.4216667434752397
Red,0.484472049689441,0.07333333333333333,0.43615361877067554
Green,0.37888198757763975,0.06622516556291391,0.4770216765048118
