Name,Win,Loss,Num,Color,Mana Value,Type,Main %,Win %,Norm %
Usher of the Fallen,30,24,8,W,1.0,Creature,0.5714285714285714,0.5555555555555556,1.1111899894620096
Inspiring Vantage,28,23,7,RW,0.0,Land,0.5384615384615384,0.5490196078431373,1.1109179940527287
"Jace, the Mind Sculptor",41,29,11,U,4.0,Planeswalker,0.8461538461538461,0.5857142857142857,1.110366567098327
Arid Mesa,65,50,15,,0.0,Land,0.8823529411764706,0.5652173913043478,1.109687991368666
Felidar Guardian,30,14,7,W,4.0,Creature,0.5,0.6818181818181818,1.1096452166927728
Animate Dead,28,22,7,B,2.0,Enchantment,0.7777777777777778,0.56,1.1095368933624183
Fatal Push,48,48,14,B,1.0,Instant,0.9333333333333333,0.5,1.1068113927861178
Parallax Wave,53,33,12,W,4.0,Enchantment,0.75,0.6162790697674418,1.1046069351907786
Overgrown Tomb,37,35,11,BG,0.0,Land,0.7857142857142857,0.5138888888888888,1.1045410240166342
Reprieve,21,16,6,W,2.0,Instant,0.6,0.5675675675675675,1.1045084097538929
Soulherder,33,19,8,UW,3.0,Creature,0.6153846153846154,0.6346153846153846,1.1031907382675932
Thundering Falls,45,40,12,RU,0.0,Land,0.8571428571428571,0.5294117647058824,1.1029337031880395
Commercial District,38,33,10,GR,0.0,Land,0.6666666666666666,0.5352112676056338,1.0990241604489557
Stomping Ground,26,31,8,GR,0.0,Land,0.5714285714285714,0.45614035087719296,1.0985722373017803
Scalding Tarn,34,26,9,,0.0,Land,0.8181818181818182,0.5666666666666667,1.097727989382837
Authority of the Consuls,26,18,6,W,1.0,Enchantment,0.5,0.5909090909090909,1.0975464052381094
Fall from Favor,52,38,13,U,3.0,Enchantment,0.8666666666666667,0.5777777777777777,1.0933555574047058
Accursed Marauder,32,28,8,B,2.0,Creature,1.0,0.5333333333333333,1.0932983499938922
Lightning Bolt,31,26,8,R,1.0,Instant,1.0,0.543859649122807,1.093213441257612
Blood Crypt,42,34,11,BR,0.0,Land,0.9166666666666666,0.5526315789473685,1.0929496376337098
Underground Mortuary,33,30,9,BG,0.0,Land,0.8181818181818182,0.5238095238095238,1.0923157843674078
Celestial Colonnade,36,22,8,UW,0.0,Land,0.6153846153846154,0.6206896551724138,1.0913979613328224
Reflector Mage,37,23,9,UW,3.0,Creature,0.6,0.6166666666666667,1.0888370891509085
Go for the Throat,45,40,12,B,2.0,Instant,0.9230769230769231,0.5294117647058824,1.0877683588632625
Persist,36,34,10,B,2.0,Sorcery,0.7692307692307693,0.5142857142857142,1.0870107722668454
Restless Bivouac,35,34,9,RW,0.0,Land,0.6923076923076923,0.5072463768115942,1.086419081216505
Marsh Flats,50,38,12,,0.0,Land,0.8571428571428571,0.5681818181818182,1.0851529350855846
Bonecrusher Giant // Stomp,53,44,14,R,3.0,Creature,1.0,0.5463917525773195,1.0829863579436254
Steam Vents,34,32,10,RU,0.0,Land,0.7142857142857143,0.5151515151515151,1.0829243187449564
Flametongue Kavu,41,34,10,R,4.0,Creature,0.9090909090909091,0.5466666666666666,1.0812765293451745
Shambling Vent,30,22,7,BW,0.0,Land,0.6363636363636364,0.5769230769230769,1.0812034386663827
Sacred Foundry,37,29,9,RW,0.0,Land,0.6923076923076923,0.5606060606060606,1.0804936764766604
"Takenuma, Abandoned Mire",28,24,7,B,0.0,Land,0.875,0.5384615384615384,1.0792063325525934
Cathar Commando,27,19,6,W,2.0,Creature,0.46153846153846156,0.5869565217391305,1.0788266102743
Faerie Mastermind,35,33,10,U,2.0,Creature,0.9090909090909091,0.5147058823529411,1.0788093175850715
Grim Lavamancer,49,41,12,R,1.0,Creature,0.75,0.5444444444444444,1.0770019918919862
"Tinybones, the Pickpocket",31,25,7,B,1.0,Creature,0.875,0.5535714285714286,1.0766736749243682
Goblin Rabblemaster,32,23,8,R,3.0,Creature,0.6153846153846154,0.5818181818181818,1.0760111217762396
Thraben Inspector,34,26,9,W,1.0,Creature,0.6923076923076923,0.5666666666666667,1.075604382494991
Hullbreacher,42,40,12,U,3.0,Creature,0.8571428571428571,0.5121951219512195,1.0751663319104705
Bone Shards,38,37,10,B,1.0,Sorcery,0.8333333333333334,0.5066666666666667,1.07473387404819
Skyclave Apparition,50,31,11,W,3.0,Creature,0.8461538461538461,0.6172839506172839,1.0746172679058976
Pteramander,23,17,6,U,1.0,Creature,0.5454545454545454,0.575,1.07429136732531
"Nadu, Winged Wisdom",28,21,7,GU,3.0,Creature,0.7,0.5714285714285714,1.0732134126408963
Path to Exile,47,33,12,W,1.0,Instant,0.8571428571428571,0.5875,1.0716493355294805
Urabrask's Forge,34,28,9,R,3.0,Artifact,0.75,0.5483870967741935,1.0708930190415888
Werefox Bodyguard,40,29,10,W,3.0,Creature,0.9090909090909091,0.5797101449275363,1.0704838569441075
Thoughtseize,32,25,8,B,1.0,Sorcery,0.6666666666666666,0.5614035087719298,1.0703725027407192
Breach the Multiverse,32,29,9,B,7.0,Sorcery,0.6923076923076923,0.5245901639344263,1.0702963942836916
Infernal Grasp,31,23,8,B,2.0,Instant,0.7272727272727273,0.5740740740740741,1.0688475298319835
Circuit Mender,26,16,6,,3.0,Creature,0.5,0.6190476190476191,1.0685153629305322
Twinshot Sniper,39,32,9,R,4.0,Creature,0.6923076923076923,0.5492957746478874,1.0681604287564834
Shivan Devastator,34,28,8,R,1.0,Creature,0.5714285714285714,0.5483870967741935,1.0679638741069848
Ketria Triome,37,32,10,GRU,0.0,Land,0.9090909090909091,0.5362318840579711,1.0674182172627853
Undercity Sewers,42,33,11,BU,0.0,Land,0.8461538461538461,0.56,1.0672870726983774
Esika's Chariot,24,21,6,G,4.0,Artifact,0.5454545454545454,0.5333333333333333,1.06531916647673
Blade Splicer,42,24,9,W,3.0,Creature,0.6923076923076923,0.6363636363636364,1.0653038457760047
Raging Ravine,25,29,7,GR,0.0,Land,0.5,0.46296296296296297,1.0645650217036808
Intrepid Adversary,48,38,11,W,2.0,Creature,0.7333333333333333,0.5581395348837209,1.0641193833841132
Stoke the Flames,29,22,7,R,4.0,Instant,0.4375,0.5686274509803921,1.0640143331637057
